"column","n","missing","earliest","latest","unique_timestamps"
"birthDate",2564,76,"1921-09-11 00:00:00","2004-05-06 00:00:00",2060
"date",2640,0,"2023-04-04 05:01:00","2023-04-04 09:01:00",2
